project_type,land_area,affected_families,documentation_completion,compensation_completion,legal_disputes,approval_delay_days,rr_completion,possession_completion,stakeholder_response_days,historical_delay_rate,delayed,actual_delay_days
Urban Infrastructure,366.0,228,90.0,100.0,2,24,72.7,57.8,6,14.8,0,0
Highway,70.7,96,62.7,57.7,2,13,64.9,58.1,6,28.0,0,0
Highway,278.4,568,64.0,71.4,1,7,48.7,61.9,12,34.6,1,15
Irrigation,550.6,1022,52.1,57.8,5,33,54.5,40.4,2,45.8,1,62
Highway,312.4,73,79.0,37.1,0,35,55.0,42.6,6,32.4,0,0
Highway,283.4,450,65.2,53.7,0,47,58.1,52.6,8,35.5,0,0
Highway,312.2,189,58.2,33.0,0,30,98.2,90.8,7,14.0,0,0
Railway,55.4,38,59.7,39.7,0,16,100.0,88.6,7,31.9,0,0
Industrial Corridor,587.1,351,80.6,58.8,4,23,8.5,0.0,2,13.7,1,98
Highway,29.7,15,54.4,49.2,1,20,72.8,68.5,9,39.2,1,57
Irrigation,665.3,436,55.8,25.3,0,16,82.1,57.9,3,14.3,1,114
Industrial Corridor,216.6,86,86.3,66.4,0,6,58.7,50.3,4,15.3,1,15
Highway,383.3,611,69.3,60.7,1,7,81.6,53.2,12,34.3,0,0
Highway,50.6,57,87.3,75.6,2,34,96.1,90.6,8,44.5,0,0
Urban Infrastructure,468.1,405,66.3,60.2,4,10,35.6,36.6,5,37.6,1,15
Industrial Corridor,417.4,249,72.0,63.3,2,15,65.7,73.2,21,22.1,0,0
Irrigation,400.8,214,74.5,67.1,3,4,100.0,91.5,6,15.1,0,0
Industrial Corridor,48.2,47,94.2,80.9,0,4,38.2,41.1,3,21.3,0,0
Highway,154.6,136,92.9,60.5,0,10,60.7,30.6,2,27.4,0,0
Railway,367.3,520,90.5,99.4,4,33,54.0,58.1,13,25.1,0,0
Industrial Corridor,577.0,311,61.9,37.9,2,34,84.0,85.4,11,14.7,1,27
Highway,136.6,69,56.2,53.4,1,22,86.8,69.1,7,40.1,1,22
Industrial Corridor,139.7,154,84.2,58.4,2,11,66.2,39.4,4,40.4,0,0
Railway,351.3,434,94.0,90.7,3,50,63.6,43.6,10,46.7,1,69
Industrial Corridor,1121.9,2867,90.6,76.8,4,15,28.6,3.7,11,7.7,1,207
Railway,174.8,40,72.2,66.4,0,53,91.5,83.7,1,17.1,0,0
Railway,214.7,353,83.6,99.8,0,26,55.9,47.9,3,28.8,0,0
Highway,191.6,157,83.9,51.6,2,38,60.2,21.0,12,26.1,0,0
Highway,259.0,145,74.4,79.6,1,39,82.4,48.0,3,21.1,0,0
Industrial Corridor,606.2,596,75.1,65.9,2,3,67.0,47.3,6,16.6,0,0
Highway,269.0,259,73.6,80.3,4,7,83.1,57.5,7,15.0,0,0
Highway,1188.9,676,59.4,70.1,4,14,75.1,53.2,4,48.3,0,0
Highway,304.6,73,61.0,55.9,1,10,67.1,76.2,8,10.3,1,100
Highway,643.6,1060,60.8,61.1,3,27,69.2,60.8,4,8.9,1,15
Industrial Corridor,226.7,109,46.4,54.8,1,28,40.5,9.0,3,12.9,1,15
Railway,100.7,44,74.3,66.8,0,13,60.0,40.2,3,28.1,1,15
Urban Infrastructure,268.7,137,71.4,84.1,1,12,84.7,76.7,3,23.0,0,0
Highway,404.8,486,84.2,74.4,1,37,45.0,13.4,13,30.5,1,126
Irrigation,155.7,95,92.2,86.0,3,12,48.7,34.2,11,18.2,1,42
Railway,580.2,299,93.2,100.0,0,41,45.4,25.1,8,27.0,0,0
Railway,198.7,188,94.7,94.0,1,23,66.1,51.5,7,26.9,0,0
Urban Infrastructure,121.8,106,59.9,45.3,2,23,91.1,74.0,21,43.3,0,0
Urban Infrastructure,1051.7,549,49.1,56.0,2,8,73.9,55.7,12,45.6,1,48
Urban Infrastructure,149.2,35,86.9,71.7,2,31,19.5,0.0,15,24.3,1,38
Highway,194.3,230,94.1,80.0,2,7,76.0,45.6,7,35.4,0,0
Highway,449.6,395,96.9,100.0,2,31,54.2,52.0,4,27.8,0,0
Irrigation,221.0,40,79.8,72.0,2,28,73.2,58.9,3,34.5,0,0
Highway,125.6,224,40.1,20.6,1,29,60.0,31.9,4,30.2,1,71
Industrial Corridor,179.8,32,77.8,82.1,1,28,45.8,38.8,4,34.1,1,43
Irrigation,874.3,397,80.9,75.8,1,36,61.6,72.2,7,35.4,1,19
Irrigation,414.5,196,92.0,67.9,0,26,54.2,58.8,8,30.7,0,0
Industrial Corridor,469.6,247,94.9,98.9,1,3,69.2,72.8,6,27.5,0,0
Industrial Corridor,339.7,175,86.6,72.2,3,24,45.3,43.2,5,37.5,0,0
Highway,379.8,125,62.6,69.7,0,9,40.5,42.7,3,24.5,0,0
Highway,208.7,173,55.5,49.8,2,5,77.6,53.2,21,19.7,0,0
Irrigation,311.1,404,80.5,66.2,1,8,85.2,80.4,2,8.9,0,0
Railway,43.8,36,59.3,85.0,0,11,74.6,46.7,17,30.7,1,96
Highway,528.1,479,95.6,95.1,2,29,50.0,58.0,6,33.6,0,0
Railway,207.2,129,44.7,30.7,1,15,48.2,44.5,6,7.0,0,0
Industrial Corridor,108.6,87,81.1,69.9,1,36,49.4,38.8,4,19.2,0,0
Industrial Corridor,323.5,306,77.1,76.4,2,10,80.8,59.6,10,34.3,0,0
Irrigation,245.7,277,68.7,76.2,3,16,46.5,20.3,4,24.4,1,97
Railway,516.0,253,57.2,40.4,1,11,80.7,79.8,7,26.6,1,88
Highway,273.0,123,39.0,35.5,1,2,75.7,51.8,9,36.0,1,83
Irrigation,176.8,24,63.5,47.9,1,19,87.8,100.0,1,24.8,0,0
Highway,277.7,575,63.8,50.5,0,88,84.3,62.2,5,30.2,1,136
Irrigation,690.6,1380,89.8,88.1,5,5,73.9,85.0,22,14.1,0,0
Irrigation,527.1,382,59.5,36.5,2,31,33.6,17.9,4,29.9,1,44
Highway,413.7,310,79.2,79.5,2,37,75.2,49.3,4,11.3,0,0
Highway,541.9,926,51.3,26.6,4,20,65.3,43.0,5,11.7,1,22
Highway,435.1,146,79.7,53.2,0,6,55.5,71.1,25,20.5,1,79
Urban Infrastructure,140.5,59,36.2,13.5,0,71,90.2,87.9,18,32.0,1,118
Irrigation,472.1,835,100.0,94.5,5,28,60.0,40.2,7,26.6,1,15
Highway,583.6,360,69.7,26.0,1,53,52.4,33.1,13,17.3,1,45
Urban Infrastructure,604.7,231,27.3,17.2,0,4,85.5,72.4,7,35.7,0,0
Railway,116.7,114,60.5,49.1,0,12,54.9,78.9,7,29.5,0,0
Railway,194.7,96,58.0,50.3,2,5,51.4,24.4,9,37.5,0,0
Urban Infrastructure,173.0,277,61.5,69.3,3,39,40.5,10.9,11,16.2,1,157
Highway,225.1,180,66.2,40.1,1,4,46.6,35.1,5,41.8,1,25
Highway,385.4,194,61.4,61.4,2,17,48.3,35.9,4,43.4,1,124
Irrigation,317.9,166,58.9,38.0,1,16,75.4,58.9,9,36.0,1,72
Highway,318.0,303,53.5,29.3,1,3,42.6,11.7,3,31.4,1,32
Irrigation,91.1,60,85.1,68.7,3,30,25.8,13.0,6,31.5,1,47
Highway,189.2,116,91.2,92.9,3,26,69.1,63.0,6,29.6,0,0
Highway,633.2,730,67.9,64.7,1,11,50.3,35.6,2,10.9,0,0
Highway,582.0,1003,71.7,100.0,0,53,62.7,53.9,4,19.4,0,0
Railway,269.7,286,54.0,47.6,1,3,88.6,79.6,7,24.9,0,0
Highway,472.9,221,73.1,53.9,3,2,64.4,81.9,1,14.7,0,0
Highway,362.4,133,75.7,71.0,1,21,93.2,76.4,12,41.8,0,0
Urban Infrastructure,507.1,565,68.5,68.8,2,8,61.6,35.0,3,31.5,1,15
Railway,486.5,516,78.3,74.5,0,18,83.1,58.8,10,45.6,1,15
Railway,285.3,167,76.9,51.9,3,43,52.1,28.8,5,34.7,1,129
Highway,415.4,279,55.1,47.9,0,5,65.2,57.0,20,10.6,0,0
Railway,378.6,184,91.1,57.1,1,40,44.3,33.1,7,40.4,1,36
Highway,290.7,108,68.7,68.7,1,6,46.7,19.8,1,21.0,1,29
Irrigation,248.1,127,98.8,87.8,1,13,58.5,36.5,11,41.0,1,16
Highway,800.3,86,78.7,76.8,1,46,36.4,5.1,5,42.6,1,44
Urban Infrastructure,290.9,417,100.0,63.0,0,30,66.2,67.3,16,40.9,1,30
Urban Infrastructure,454.0,135,90.8,80.3,0,9,56.9,58.1,28,37.8,1,39
Highway,762.3,559,75.6,37.8,0,24,67.7,63.7,4,30.8,0,0
Highway,415.0,64,60.4,58.3,1,12,36.7,41.8,4,25.9,0,0
Highway,402.8,419,60.8,31.4,4,14,77.0,87.8,6,46.7,1,81
Irrigation,292.1,357,80.5,70.8,0,16,97.0,81.0,15,29.0,1,38
Highway,383.2,296,74.3,54.6,1,27,92.7,77.7,3,21.8,0,0
Urban Infrastructure,233.2,165,62.6,71.7,0,20,100.0,87.3,3,30.9,0,0
Industrial Corridor,1283.8,621,85.3,72.4,2,16,63.8,49.5,3,38.6,1,153
Industrial Corridor,93.1,132,72.6,79.6,0,16,56.0,69.0,2,38.2,0,0
Irrigation,259.4,66,85.4,73.8,2,22,72.8,71.0,4,14.1,0,0
Urban Infrastructure,419.5,235,56.4,69.7,0,19,58.2,53.6,7,37.9,1,27
Highway,403.0,180,88.0,81.3,2,12,28.2,18.5,29,33.6,1,89
Railway,232.9,102,80.0,56.7,1,23,79.4,92.3,2,22.2,1,15
Railway,64.7,90,91.2,75.5,0,26,58.3,63.2,7,16.9,0,0
Urban Infrastructure,107.3,73,87.6,96.9,1,23,33.7,31.2,9,41.7,0,0
Irrigation,333.4,160,70.6,89.2,2,36,52.8,27.9,6,42.8,1,57
Industrial Corridor,46.9,42,69.4,54.4,0,11,58.8,45.9,8,43.3,0,0
Highway,439.1,374,100.0,69.9,2,10,63.2,38.9,5,11.6,0,0
Urban Infrastructure,613.4,742,67.4,72.9,0,48,63.5,56.3,4,23.7,1,15
Railway,490.8,468,84.0,46.6,2,9,90.4,81.4,5,26.6,0,0
Railway,554.7,389,65.9,58.0,2,15,37.2,20.7,13,42.5,0,0
Urban Infrastructure,48.9,36,42.2,61.6,0,2,60.0,53.7,10,34.9,0,0
Railway,239.7,58,52.4,66.3,0,6,45.4,45.8,6,23.5,0,0
Railway,131.6,122,78.5,59.7,1,13,88.1,100.0,2,27.8,0,0
Irrigation,75.7,31,83.2,73.4,0,12,51.8,51.8,2,33.9,0,0
Highway,204.2,172,78.5,49.7,2,15,56.1,34.6,5,34.2,0,0
Railway,750.6,1276,90.3,99.1,1,57,84.0,56.1,10,44.5,1,17
Highway,881.1,682,78.3,68.6,2,3,89.5,92.1,9,42.0,0,0
Highway,146.2,87,59.6,51.5,3,18,92.5,100.0,8,39.7,0,0
Urban Infrastructure,305.5,180,81.5,75.5,1,17,30.1,7.2,2,17.6,0,0
Irrigation,379.6,344,74.7,72.1,4,63,72.7,62.7,12,18.3,0,0
Railway,241.0,196,62.8,59.9,1,34,68.4,79.6,8,15.1,1,41
Railway,641.5,685,79.6,69.2,1,12,62.0,99.7,3,30.7,0,0
Railway,206.6,104,73.3,61.1,1,47,64.3,69.8,12,20.8,1,37
Irrigation,181.2,119,62.3,50.8,0,11,88.7,86.6,3,32.6,0,0
Urban Infrastructure,152.7,179,69.2,44.3,0,36,83.8,92.1,8,34.1,0,0
Urban Infrastructure,239.8,293,94.6,100.0,2,53,80.9,61.5,4,28.7,0,0
Railway,17.3,21,94.1,100.0,0,20,67.1,70.3,6,36.0,0,0
Railway,248.2,273,75.0,52.8,1,7,100.0,90.8,9,19.2,0,0
Railway,318.7,358,72.9,78.1,1,3,55.0,10.4,7,10.1,1,34
Irrigation,332.8,280,49.1,46.4,2,21,30.7,19.9,6,18.6,1,261
Railway,125.0,36,99.5,100.0,1,35,57.7,50.4,4,35.5,0,0
Irrigation,328.4,101,88.6,89.5,2,100,64.2,56.6,4,46.6,0,0
Irrigation,323.7,248,84.0,96.4,2,44,89.1,70.1,4,42.6,1,65
Railway,328.7,258,35.6,35.6,0,19,52.8,35.6,13,24.2,1,49
Railway,497.0,214,72.7,55.6,1,7,72.8,78.9,22,36.9,0,0
Railway,120.6,54,70.0,62.1,1,16,33.5,30.7,4,11.1,1,37
Highway,243.1,170,82.9,67.8,4,56,84.6,85.6,17,43.4,0,0
Highway,60.4,136,64.8,63.7,0,71,64.4,59.6,3,32.2,0,0
Industrial Corridor,467.4,178,68.3,47.7,0,11,57.4,21.0,8,35.1,0,0
Railway,137.2,79,81.9,81.0,1,15,100.0,81.7,3,5.4,0,0
Highway,547.3,662,59.6,81.1,6,50,84.4,76.6,14,31.6,0,0
Irrigation,559.7,608,62.8,50.4,2,48,42.2,14.5,12,46.8,1,214
Industrial Corridor,260.8,229,75.1,56.4,2,12,60.8,49.0,13,29.7,0,0
Highway,251.0,51,93.4,93.2,0,31,100.0,100.0,5,25.5,0,0
Industrial Corridor,85.7,54,84.9,60.1,0,12,100.0,66.0,4,23.7,0,0
Urban Infrastructure,298.6,570,89.2,93.1,2,41,81.5,74.8,13,18.6,0,0
Irrigation,494.2,217,73.0,55.6,2,19,26.1,50.9,6,27.5,1,374
Irrigation,357.2,153,95.9,63.5,2,14,89.6,100.0,6,13.2,0,0
Highway,690.9,1146,44.1,35.6,5,33,50.3,24.4,5,31.5,1,122
Urban Infrastructure,222.6,155,100.0,95.2,2,20,89.5,100.0,6,38.8,0,0
Railway,222.4,48,100.0,93.5,2,33,48.5,19.3,13,21.8,0,0
Urban Infrastructure,145.0,51,79.3,48.5,0,7,72.8,62.6,4,30.8,1,76
Irrigation,984.2,501,85.3,71.7,0,9,50.2,30.5,4,25.8,0,0
Highway,85.0,73,71.4,33.4,1,17,55.7,50.6,4,30.9,1,40
Highway,471.2,307,68.6,56.7,4,10,75.4,58.5,6,36.6,1,61
Irrigation,500.9,208,62.2,63.4,1,13,36.6,22.9,14,31.1,1,95
Irrigation,487.1,320,71.2,71.4,1,18,100.0,91.6,4,36.0,0,0
Highway,155.1,68,80.9,72.0,0,11,42.5,49.5,4,32.3,1,25
Industrial Corridor,260.7,514,78.7,99.3,5,55,41.3,26.9,17,36.0,1,87
Urban Infrastructure,427.6,144,100.0,98.6,0,9,75.5,93.8,4,30.0,0,0
Railway,183.8,101,73.6,71.9,1,17,88.8,65.8,7,30.2,0,0
Railway,234.8,118,48.2,36.8,2,17,56.5,44.5,19,34.2,0,0
Highway,186.3,95,98.3,63.1,1,21,41.6,25.6,6,25.8,1,29
Industrial Corridor,313.1,113,52.5,43.7,4,14,44.6,74.9,23,31.5,1,37
Railway,298.9,474,63.0,81.9,0,36,42.4,50.3,4,16.7,1,83
Urban Infrastructure,769.7,1802,76.3,81.1,2,37,69.2,67.8,22,6.6,1,60
Railway,433.8,398,78.7,67.0,1,11,61.6,42.5,6,27.6,1,15
Irrigation,103.9,90,48.9,39.6,0,39,71.5,76.6,1,17.8,1,45
Highway,111.4,27,60.1,29.4,3,11,70.3,23.1,1,47.8,1,69
Highway,476.7,746,48.3,26.9,1,17,79.5,74.4,5,17.7,1,59
Industrial Corridor,296.6,130,81.9,60.9,1,19,54.8,61.0,8,34.9,1,47
Railway,947.8,214,90.9,85.9,2,10,48.2,42.0,6,18.7,0,0
Irrigation,946.1,960,52.5,29.1,3,4,66.1,71.4,15,26.2,1,315
Urban Infrastructure,144.3,192,87.9,92.4,1,20,61.9,70.7,9,14.2,0,0
Urban Infrastructure,361.0,562,86.9,65.3,2,7,68.1,43.9,6,13.2,1,29
Urban Infrastructure,112.6,63,61.5,57.5,3,52,48.8,32.1,7,29.6,0,0
Highway,471.4,243,40.3,52.6,3,12,75.8,59.1,5,22.1,1,98
Irrigation,839.7,697,54.9,38.6,3,32,39.4,11.2,9,34.6,1,372
Urban Infrastructure,327.3,213,62.5,34.9,2,31,54.2,37.9,4,40.2,1,92
Railway,216.8,222,96.7,94.4,2,10,85.6,92.6,9,8.9,0,0
Highway,386.4,323,70.1,40.2,1,13,40.4,20.8,6,38.0,0,0
Industrial Corridor,536.2,223,55.9,71.1,2,13,84.0,91.9,5,15.4,0,0
Railway,538.5,854,74.4,83.2,1,23,34.8,33.0,14,22.3,1,171
Irrigation,218.6,225,51.3,45.4,1,90,31.3,23.0,19,10.6,1,99
Urban Infrastructure,180.2,237,80.2,77.4,0,22,33.1,26.3,8,10.9,0,0
Irrigation,347.8,146,56.4,57.7,1,12,65.3,83.2,5,4.6,0,0
Railway,229.6,232,58.7,48.8,0,23,77.6,83.1,5,21.6,0,0
Railway,641.6,754,78.0,77.4,3,7,88.9,80.2,5,26.7,1,15
Railway,227.6,186,100.0,97.0,1,9,87.3,87.5,1,21.9,0,0
Highway,311.0,112,100.0,88.1,1,52,80.3,54.4,10,6.3,0,0
Industrial Corridor,379.9,293,55.4,56.7,1,15,46.4,17.9,8,4.5,1,67
Industrial Corridor,87.8,98,62.5,56.0,0,9,46.2,54.0,7,26.1,0,0
Highway,192.2,263,80.2,81.2,4,6,78.8,68.9,12,34.7,0,0
Highway,921.7,241,90.7,99.6,0,18,91.4,58.7,3,28.7,1,51
Urban Infrastructure,521.5,420,37.4,18.7,2,6,42.4,35.4,1,46.5,1,38
Highway,225.3,69,73.4,41.5,1,41,88.9,86.0,5,25.6,1,27
Irrigation,472.7,530,64.2,41.3,1,31,24.6,2.7,11,29.5,1,48
Railway,634.9,819,41.2,28.6,2,11,70.8,65.9,8,25.8,1,32
Irrigation,251.9,100,50.6,51.6,0,60,60.9,32.8,6,17.4,0,0
Highway,505.4,176,62.9,58.9,2,13,58.9,58.8,19,24.2,1,88
Irrigation,459.6,230,72.9,50.1,2,15,63.6,61.7,15,35.2,0,0
Railway,114.3,76,88.1,100.0,1,10,45.9,25.0,11,35.7,0,0
Irrigation,253.0,116,77.7,74.8,0,29,71.9,61.4,6,29.9,0,0
Highway,782.5,922,87.2,68.9,3,7,64.2,53.6,31,43.4,0,0
Railway,905.3,1242,72.4,80.3,1,12,81.7,100.0,3,31.0,0,0
Irrigation,524.3,412,60.7,46.8,0,10,94.8,91.1,13,29.6,1,75
Highway,187.2,88,69.1,55.8,3,22,65.5,43.5,14,42.5,1,120
Highway,34.4,22,83.1,95.5,0,5,46.6,49.4,5,18.1,0,0
Highway,168.0,132,88.5,79.3,1,16,40.2,20.7,16,41.7,1,29
Railway,101.1,64,69.6,70.2,0,41,97.0,84.0,3,15.3,0,0
Highway,819.2,574,57.1,43.3,2,6,94.4,88.4,9,23.1,0,0
Urban Infrastructure,58.9,77,77.4,60.0,1,30,80.7,51.3,13,5.8,0,0
Railway,117.0,53,79.6,66.0,1,34,64.2,60.3,9,28.8,0,0
Industrial Corridor,342.9,707,91.7,82.7,6,16,79.3,74.4,2,40.6,1,56
Urban Infrastructure,295.1,236,61.1,49.1,0,2,89.1,83.3,13,15.7,0,0
Highway,758.2,465,61.3,69.8,3,29,50.6,40.4,15,22.9,1,23
Irrigation,440.9,195,84.1,76.5,3,40,63.6,43.1,8,23.6,1,21
Urban Infrastructure,266.5,124,65.5,68.7,1,57,40.9,54.0,2,23.6,0,0
Irrigation,649.2,482,64.8,42.4,3,19,60.4,38.4,8,14.5,1,508
Railway,220.6,176,92.1,74.5,3,3,93.9,83.9,5,26.4,0,0
Railway,797.4,478,50.1,32.6,4,29,84.6,67.3,7,43.3,1,196
Highway,150.3,46,100.0,68.0,2,4,65.7,20.8,11,20.5,0,0
Irrigation,287.5,213,62.2,58.8,1,26,9.1,7.8,3,28.5,1,36
Urban Infrastructure,40.8,19,85.9,85.6,0,32,49.9,59.3,17,28.4,0,0
Urban Infrastructure,542.1,116,70.3,67.3,0,42,65.0,53.1,6,21.6,1,18
Highway,329.6,346,76.3,90.7,7,12,58.7,44.4,8,29.1,0,0
Industrial Corridor,798.8,191,67.8,81.1,1,8,63.7,41.6,5,21.8,0,0
Highway,246.3,144,85.7,69.0,0,19,67.9,67.0,11,30.6,0,0
Urban Infrastructure,86.7,60,66.4,77.9,0,5,52.3,55.8,17,25.2,1,28
Highway,403.9,596,62.8,69.8,2,13,62.8,76.8,4,10.5,1,80
Urban Infrastructure,196.6,44,100.0,93.4,2,10,60.0,71.5,10,6.2,0,0
Industrial Corridor,492.3,548,72.5,70.3,2,37,48.9,46.1,4,2.5,1,15
Highway,152.9,186,61.2,40.8,4,49,99.9,92.6,11,21.5,0,0
Highway,710.0,1226,48.2,39.4,3,27,53.5,13.5,7,35.1,1,182
Industrial Corridor,310.8,418,100.0,100.0,5,34,17.9,34.3,12,18.0,1,54
Highway,267.3,188,63.2,41.6,1,20,98.7,84.7,9,23.3,0,0
Irrigation,680.1,777,100.0,81.8,3,18,46.1,48.0,24,18.8,0,0
Urban Infrastructure,547.3,830,78.4,90.2,0,4,81.0,68.7,5,16.8,0,0
Irrigation,170.4,31,74.3,62.8,1,24,49.4,48.7,3,50.2,0,0
Railway,537.1,162,74.7,76.7,1,32,74.4,49.9,5,17.2,0,0
Railway,466.8,394,100.0,100.0,3,15,62.0,37.6,5,11.1,0,0
Highway,278.3,336,36.9,5.0,0,15,83.0,75.7,7,16.2,0,0
Urban Infrastructure,509.1,523,75.4,65.7,1,2,58.7,28.1,5,26.8,0,0
Highway,708.0,630,67.8,62.8,4,15,49.9,29.5,8,19.7,1,48
Highway,284.2,487,68.6,59.4,2,37,68.1,38.2,2,29.1,1,51
Highway,284.9,171,74.4,54.2,4,23,55.4,47.0,5,18.0,0,0
Urban Infrastructure,273.9,126,67.7,69.5,3,17,24.4,1.1,5,19.5,1,60
Highway,164.9,87,75.0,74.4,1,6,51.0,53.5,12,18.2,0,0
Urban Infrastructure,282.1,241,71.6,54.4,0,12,100.0,100.0,4,25.0,0,0
Industrial Corridor,260.0,179,51.0,64.2,3,10,26.6,0.0,3,33.8,1,62
Industrial Corridor,249.1,310,78.1,56.2,2,7,67.8,75.1,7,35.0,0,0
Urban Infrastructure,246.4,117,83.5,98.0,3,23,58.1,55.6,12,41.5,0,0
Industrial Corridor,116.7,107,63.3,58.7,0,12,99.7,100.0,1,11.6,0,0
Urban Infrastructure,583.2,667,100.0,100.0,4,34,40.8,44.5,11,14.6,0,0
Highway,192.0,291,93.4,100.0,0,17,65.0,70.9,10,15.9,0,0
Industrial Corridor,733.4,249,85.5,59.3,3,62,76.7,77.8,7,26.0,0,0
Irrigation,139.0,73,85.3,62.7,2,12,59.4,45.9,8,14.2,0,0
Irrigation,840.4,552,72.5,48.4,3,41,47.6,30.5,13,18.4,1,64
Urban Infrastructure,228.7,63,90.3,100.0,0,47,62.6,68.7,5,33.5,0,0
Urban Infrastructure,541.3,479,97.1,100.0,2,11,56.8,59.6,2,37.8,0,0
Industrial Corridor,327.4,287,84.9,72.1,0,16,56.8,31.5,10,33.6,0,0
Railway,103.2,86,62.9,44.9,1,13,81.6,47.0,10,29.5,1,35
Railway,108.1,68,71.4,74.6,1,11,71.1,43.3,1,18.7,1,87
Railway,179.7,256,81.2,81.3,2,28,74.0,89.7,18,26.2,1,19
Railway,219.1,117,85.4,93.2,0,30,69.6,42.8,9,38.5,0,0
Railway,290.7,392,70.8,39.6,1,10,82.2,45.4,4,33.3,0,0
Highway,377.4,198,62.9,61.5,2,10,89.1,100.0,10,35.7,1,29
Highway,264.1,88,97.3,88.9,1,18,57.3,32.1,9,36.5,0,0
Industrial Corridor,363.7,257,54.8,45.6,3,17,79.4,67.0,5,22.4,1,30
Railway,405.1,319,56.9,33.4,3,4,37.1,33.0,8,33.0,1,168
Urban Infrastructure,255.6,237,50.8,56.1,2,29,17.9,7.3,8,21.8,1,68
Irrigation,461.7,65,56.9,32.5,2,3,99.5,83.9,7,32.5,1,94
Highway,531.1,314,92.0,100.0,0,9,56.3,29.9,7,39.5,0,0
Highway,412.1,815,92.5,68.2,1,20,68.0,42.4,9,43.1,0,0
Highway,427.9,214,70.8,86.8,1,28,38.5,52.1,8,32.5,1,61
Urban Infrastructure,341.8,415,79.9,73.4,0,8,37.6,38.3,5,30.3,0,0
Highway,616.3,1899,71.8,41.0,3,16,48.7,38.3,3,41.3,1,97
Railway,295.5,645,52.9,35.1,1,12,75.9,43.3,8,16.5,1,60
Urban Infrastructure,182.3,67,100.0,86.1,0,1,52.7,84.6,11,41.9,0,0
Urban Infrastructure,301.7,349,94.0,100.0,3,13,56.3,56.5,8,27.4,0,0
Highway,104.8,126,77.7,80.0,0,7,48.1,62.0,5,27.5,0,0
Highway,93.9,99,58.3,31.5,1,17,86.3,97.8,2,21.0,1,97
Highway,532.8,175,68.4,53.8,1,6,80.4,56.6,18,13.1,0,0
Highway,740.9,615,60.9,40.4,2,12,53.3,52.3,9,42.2,1,127
Highway,234.0,193,73.6,64.6,2,16,76.7,100.0,9,30.4,0,0
Irrigation,536.1,159,77.0,72.9,2,18,58.1,51.5,5,21.9,1,111
Urban Infrastructure,51.9,32,66.5,47.8,2,14,56.2,16.7,2,29.9,1,46
Irrigation,412.9,352,48.7,37.1,3,40,62.0,80.1,5,22.3,0,0
Irrigation,296.3,206,100.0,94.4,2,21,75.9,58.9,17,7.2,0,0
Highway,818.1,898,75.8,87.6,1,27,45.2,12.7,3,24.0,0,0
Industrial Corridor,267.5,161,79.3,57.9,3,16,73.0,64.7,1,10.5,0,0
Irrigation,130.6,102,65.2,51.0,1,5,100.0,62.1,18,28.6,0,0
Urban Infrastructure,82.5,104,47.0,47.5,5,5,66.7,67.6,4,43.4,1,55
Urban Infrastructure,301.6,557,70.7,46.2,4,14,63.7,33.0,6,18.9,0,0
Railway,341.4,110,66.8,55.4,0,46,61.3,34.2,9,34.7,1,56
Highway,255.8,275,83.4,71.7,1,20,72.6,64.1,22,19.0,1,15
Highway,543.9,296,86.5,66.1,1,33,30.8,44.1,16,25.8,0,0
Railway,690.7,646,84.2,66.8,1,8,97.0,100.0,7,16.3,0,0
Urban Infrastructure,232.1,71,87.8,75.7,2,18,82.6,100.0,5,32.8,0,0
Railway,62.0,89,100.0,94.6,1,40,50.1,32.2,3,40.8,1,15
Industrial Corridor,365.2,161,78.2,42.4,3,34,63.6,47.5,9,28.1,1,76
Irrigation,624.2,794,89.6,91.9,4,10,51.9,41.7,8,31.9,0,0
Highway,232.9,78,79.9,61.5,4,16,69.0,61.8,2,31.9,0,0
Railway,427.9,113,41.6,34.8,0,35,64.2,34.8,6,23.3,1,149
Irrigation,122.7,79,69.5,55.1,2,10,67.6,54.1,8,40.4,1,85
Irrigation,359.1,300,58.1,32.8,1,15,42.4,41.7,10,20.3,1,15
Railway,433.1,993,75.7,72.1,3,2,53.4,42.2,3,8.7,0,0
Highway,366.1,301,59.3,42.9,1,31,85.9,46.2,8,15.9,0,0
Industrial Corridor,954.7,351,81.7,70.0,2,30,52.3,34.0,3,32.8,1,30
Highway,735.3,851,87.7,88.7,2,3,10.1,6.9,9,21.7,1,114
Urban Infrastructure,480.1,756,91.3,65.7,2,15,60.0,51.7,6,27.0,0,0
Highway,586.9,249,97.9,79.9,0,37,100.0,84.0,23,23.4,1,105
Highway,357.4,445,45.2,43.3,3,6,80.0,77.3,4,28.0,1,38
Railway,287.2,421,52.8,29.3,1,22,51.3,49.9,5,38.0,1,45
Railway,214.8,252,100.0,100.0,4,12,62.0,53.2,2,42.8,0,0
Railway,120.5,58,88.2,80.6,1,37,76.6,44.8,7,15.3,0,0
Railway,756.9,636,75.6,73.6,1,2,27.9,7.0,6,36.3,1,222
Urban Infrastructure,978.1,914,72.5,54.0,5,2,45.9,43.0,7,28.2,1,130
Railway,306.7,434,71.1,69.8,5,10,71.0,49.0,7,12.5,0,0
Railway,310.4,157,41.1,22.5,1,18,94.9,85.8,23,31.4,0,0
Railway,445.1,563,59.6,43.3,3,18,54.2,40.0,10,46.3,1,37
Highway,268.4,182,70.2,67.5,0,3,94.3,81.5,12,17.9,0,0
